Nika Ačko
Majda Vladušić
Nada Zupanc
Katarina Zekanović
Taja Babnik
Vedrana Povhe
Milena Ramadani
Mila Černoša
Marija Pehlić
Emilija Pjević
Tjaša Turk
Ema Dolničar
Irena Pucher
Arja Češljar
Anita Pokorn
Vlasta Mrđanović
Gordana Školnik
Jožefa Barbič
Silvestra Hönigsman
Ajda Kodre
Simona Češnjak
Martina Kopušar
Valerija Beč
Stanislava Veronek
Liana Klemenčič
Vida Paternost
Bojana Sušnik
Nataša Krasniqi
Amila Magdič
Klara Mauko
Gaja Bokalič
Maja Ambrož
Mojca Mergeduš
Maša Hrvatin
Tjaša Fartek
Mihaela Lotrič
Judita Režonja
Silvija Šoln
Karolina Turk
Tadeja Jakše
Mia Simonič
Nena Britovšek
Tanja Brajdič
Mila Reberšak
Slavica Slavič
Julija Turk
Boja Hozjan
Pia Šarkezi
Anita Pogačnik
Jožica Kahrimanović
Alina Kopač
Nuša Lenarčič
Lidija Tanasković
Vida Verner
Katarina Begović
Ana Jerovšek
Gabrijela Babnik
Marija Skerbinek
Urška Mladenovič
Silva Slemenšek
Ana Iveta
Lara Pranjić
Polonca Lončar
Naja Šepul
Nataša Šibanc
Tonija Rozman
Marija Filipič
Martina Bizjak
Izabela Dolinšek
Marija Geratič
Valerija Jenko
Milojka Prešeren
Zdenka Krajnc
Sofia Dulić
Milica Dolenc
Kelima Rup
Lilijana Perdih
Edita Granda
Elena Stjepanović
Mihaela Mirkac
Metka Puc
Lili Sašić
Helena Šabić
Maša Tojnko
Milica Radelj
Tjaša Gregorc
Ivana Benčina
Aldina Majcen
Jerica Slapar
Julija Šarić
Ema Kurat
Andreja Grčar
Jožefa Vranjac
Jana Strika
Monika Štampfelj
Liljana Virant
Angela Strojin
Jerneja Colnar
Katja Reya
Silva Možina
