Alisa Himelrajh
Zoja Kralj
Irena Kusterle
Vesna Kolarič
Sara Križan
Nevja Mesner
Jožefa Bažec
Kristina Pečovnik
Vesna Gliebe
Ivica Uštar
Metka Požun
Ana Moravec
Lana Galun
Julija Filipčič
Tjaša Dečman
Mateja Glavica
Majda Meznarič
Helena Tušek
Megi Bajrić
Ela Stajnko
Anica Ribič
Stanislava Logar
Verona Kuhelj
Ines Rejavc
Branka Marčeta
Alenka Tašner
Elizabeta Valjavec
Tjaša Kravogel
Tjaša Nemec
Ana Majetić
Marija Metelko
Neža Savić
Nina Glavica
Biljana Vrečar
Marija Lindič
Marija Avsec
Petra Kveder
Andreja Brantuša
Neja Vuga
Kristina Ožegović
Sanja Štrukelj
Neja Zagorc
Taja Erjavec
Taja Zabukovnik
Klara Sapač
Natalija Jurša
Tjaša Krasniqi
Nada Dijanić
Maša Kunčnik
Pia Tomić
Amina Japelj
Jelka Škofic
Biljana Voje
Marjeta Kos
Danica Merčnik
Albina Nedić
Milena Žižek
Mateja Gashi
Tamara Repinc
Jela Hanželič
Lana Vezovnik
Marija Petrinja
Tanja Vöröš
Anja Ekselenski
Blažka Mlakar
Ana Klobučar
Kristina Vanček
Silvana Hočevar
Blanka Buh
Dragica Starič
Nina Karpuzi
Ida Marinček
Teodora Možina
Mateja Lilek
Minela Skaza
Metka Benčina
Lana Kleibencetl
Ilhana Krasniqi
Magda Krameršek
Alojzija Otorepec
Tatjana Nikolić
Klara Gruden
Maja Prelovšek
Darinka Randjelović
Ksenija Kožuh
Hana Šket
Barbka Čančar
Marija Petoš
Astrid Mlakar
Sara Zijal
Karolina Mijić
Milena Ozimek
Lara Kastelic
Špela Koron
Irena Bernik
Slavica Vesel
Anica Car
Marjeta Kršić
Snežana Kariž
Loti Berisha
